lat,lon,diam
76.7111,239.271,28.546
76.3215,242.031,43.4647
82.3725,217.793,120.274
82.1727,213.282,43.4189
84.9932,201.443,175.545
84.8742,151.999,44.4879
83.1112,149.695,51.5303
81.7507,146.589,25.2716
81.9973,141.247,20.1473
81.5235,132.719,64.4364
81.1033,159.664,72.4488
77.389,130.135,22.7201
78.3311,131.335,41.7199
77.2748,123.058,38.7808
78.4693,124.129,45.3036
61.1095,105.87,22.4715
64.119,103.197,48.0792
83.169,161.332,33.7077
70.9913,250.056,22.858
69.4383,254.283,25.9923
66.7734,254.556,45.2512
65.8334,256.221,28.6277
66.7481,257.468,23.2776
63.0977,255.425,22.3527
62.499,257.632,59.181
60.864,257.148,20.5906
62.604,265.415,60.1725
64.7527,258.628,26.8762
71.1858,254.563,38.6957
72.4911,255.934,35.6748
77.345,249.193,28.9419
80.019,248.407,55.9818
83.2822,226.991,22.1189
82.154,120.824,51.4564
80.0265,119.667,20.9911
79.031,117.895,25.6588
76.4503,110.628,22.2019
75.5122,112.227,34.3307
67.4793,101.684,38.4512
67.1681,99.993,52.8844
74.2964,103.375,30.6932
75.8389,104.151,48.2317
73.991,96.1169,34.9761
80.141,113.5,42.3013
85.8988,138.558,23.969
85.9959,155.227,45.421
85.9003,115.075,75.7986
82.0977,250.235,57.0923
77.2621,257.44,22.1578
72.7088,258.811,28.0749
70.0519,260.819,58.3698
64.5028,266.374,28.0411
64.8513,266.106,47.038
68.4027,265.77,22.3314
70.1046,265.581,42.3137
71.7012,262.324,38.471
75.2758,260.678,29.0736
79.1892,259.971,20.0436
81.0951,95.9951,112.054
86.8079,133.204,22.3233
83.1181,98.3785,29.1182
83.7862,98.0792,30.9911
66.8868,95.3037,45.7446
63.633,93.6,48.1586
76.5623,93.4738,21.4616
75.4575,91.4854,47.1931
74.7976,87.6473,20.9162
85.1576,251.508,47.4741
86.1622,267.862,106.98
83.273,266.604,57.9187
82.0401,263.255,21.5637
79.5644,266.703,24.1472
76.7639,264.224,28.3956
76.2484,268.721,25.5764
76.7999,272.668,46.5693
78.9352,265.35,130.112
74.8104,272.015,133.681
67.7726,267.899,20.0873
67.2635,269.13,85.3879
65.2968,269.27,41.1853
61.4732,267.15,31.0374
63.7784,272.7,59.7472
72.1591,270.861,31.7033
82.6474,278.548,59.5615
86.9256,283.342,23.0809
84.915,92.4868,24.4436
83.246,82.4425,23.602
77.6099,88.5304,32.041
71.4629,89.7901,26.3604
70.9611,85.1513,27.9552
70.2593,89.0284,60.9606
69.0511,89.2585,36.2871
64.4377,83.9996,81.1527
68.0329,85.5705,61.7301
76.5324,84.2279,43.7692
81.4864,74.7236,25.8883
84.9954,61.8761,64.1039
83.8255,65.7525,20.7368
82.8047,65.1154,45.1715
85.8041,49.1332,27.5845
89.303,84.9452,31.0761
88.5746,26.2633,78.059
88.5906,97.1932,24.1307
86.9885,341.136,67.8086
83.9949,294.165,26.7443
81.8422,287.333,49.4615
79.597,284.411,31.2007
75.7777,279.334,20.1374
73.76,279.685,34.674
73.0457,277.159,26.9701
68.3714,275.353,30.3363
65.1806,273.366,22.0772
69.9889,281.343,53.276
75.6606,283.759,26.9392
77.5531,285.599,68.4709
77.7701,289.277,22.3179
84.3548,305.739,22.887
85.3816,10.376,92.1742
85.4462,32.6075,24.3142
84.3733,27.5551,36.1098
84.3475,42.8642,51.6936
84.6881,47.9714,26.5907
83.4394,55.1544,33.9603
80.4354,70.1347,20.7624
78.362,74.8777,22.4928
62.5995,83.1483,20.3468
77.1598,72.9938,23.2197
76.1522,73.6234,21.9756
76.6951,72.8492,22.1716
77.109,66.5658,33.1709
74.3026,67.8262,78.0344
78.5747,70.2474,21.4862
79.515,63.773,24.1564
78.734,66.3436,31.5692
80.6362,57.1379,20.3841
84.6116,321.626,28.562
84.9481,333.621,37.2198
83.625,315.591,34.3835
78.7774,296.244,23.6601
79.5803,295.377,38.0007
80.0058,292.096,23.567
74.3628,289.408,107.723
72.8979,284.961,28.4596
64.1055,280.618,33.3068
63.4446,279.539,55.845
61.565,279.503,48.4663
60.9195,280.298,20.6332
62.668,282.36,34.6766
68.4309,285.603,28.7333
69.0786,286.359,28.5394
70.8398,289.751,55.4544
70.2841,292.454,29.3377
77.3713,302.345,29.5014
82.025,310.959,24.1823
81.6531,319.314,20.6452
83.0815,319.322,32.4851
81.5785,49.3351,30.444
81.3276,44.7118,22.0873
81.1135,37.5912,76.3772
80.0236,49.7904,22.8649
79.4644,53.0188,42.2128
78.88,61.1321,28.0729
77.856,61.2732,20.2144
76.8913,61.745,21.729
71.7992,69.4286,61.8324
64.7484,78.7132,26.3824
62.9643,71.1,52.5249
76.9285,56.8178,23.1723
74.8569,56.3253,107.291
78.1301,53.6601,38.9574
79.801,38.5921,63.6885
82.9026,15.4742,25.6138
83.319,2.12028,41.6819
82.2693,18.6445,20.1269
82.1105,15.9527,22.7467
83.5014,352.555,25.6723
81.5424,331.201,21.1151
80.8703,329.728,48.22
79.1009,308.334,20.3212
